minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
20,6,1,Brazil,Neymar da Silva Santos Junior,Center Attacking Midfield,91.6,29.2,104.9,34.5,Right Foot,Normal,Regular Play,False,False,False,False,False,0.020173745,Blocked,2022,0,30.384206423732714,0.22464087706798952,10.8
20,51,1,Brazil,Carlos Henrique Casimiro,Left Defensive Midfield,84.3,34.2,117.8,39.9,Right Foot,Normal,Regular Play,False,False,False,False,False,0.0075366697,Saved,2022,0,36.168079849502654,0.19916031036515633,5.799999999999997
34,7,1,Brazil,Raphael Dias Belloli,Right Wing,105.3,49.2,117.7,41.9,Left Foot,Half Volley,Regular Play,True,False,False,False,False,0.119197816,Saved,2022,0,17.341568556506072,0.3583239010007943,9.200000000000003
36,12,1,Serbia,Filip Mladenović,Left Wing Back,113.6,28.9,120.0,33.6,Head,Normal,Regular Play,True,False,False,False,False,0.026318645,Off T,2022,0,12.812884140582872,0.3012586510512736,11.100000000000001
40,38,1,Brazil,Vinícius José Paixão de Oliveira Júnior,Left Wing,113.2,27.0,120.0,34.3,Right Foot,Half Volley,Regular Play,False,False,True,False,False,0.09814694,Off T,2022,0,14.671059948074642,0.24178158075662792,13.0
45,35,2,Brazil,Raphael Dias Belloli,Right Wing,105.9,47.3,108.8,45.7,Left Foot,Normal,Regular Play,False,False,False,False,False,0.4224228,Saved,2022,0,15.877657257920633,0.40810843014053166,7.299999999999997
49,57,2,Brazil,Neymar da Silva Santos Junior,Center Attacking Midfield,99.1,27.0,107.6,32.5,Right Foot,Normal,From Free Kick,False,False,False,False,False,0.06281959,Blocked,2022,0,24.61320783644424,0.25272339325113796,13.0
50,21,2,Brazil,Thiago Emiliano da Silva,Left Center Back,113.1,34.1,113.7,34.7,Head,Normal,From Corner,False,False,False,False,False,0.06673048,Blocked,2022,0,9.078546139112808,0.6317127274779315,5.899999999999999
50,23,2,Brazil,Richarlison de Andrade,Center Forward,115.8,29.3,116.6,31.1,Right Foot,Half Volley,From Corner,False,False,False,False,False,0.0399856,Blocked,2022,0,11.494781424629178,0.2533663531857562,10.7
53,16,2,Brazil,Danilo Luiz da Silva,Right Back,95.9,54.2,108.0,39.9,Right Foot,Volley,Regular Play,False,True,False,False,False,0.016877638,Wayward,2022,0,27.972307734614958,0.2254872429829612,14.200000000000003
