match_id,competition_name,season_name,minute,second,period,team,player,position,shot_body_part,shot_technique,play_pattern,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,shot_outcome,x,y,end_x,end_y,goal
3922837,African Cup of Nations,2023,43,57,1,Nigeria,Victor James Osimhen,Center Forward,Head,Normal,From Corner,1,0,0,0,0,0.081599146,Off T,111.8,37.8,120.0,48.4,0
3922837,African Cup of Nations,2023,53,33,2,South Africa,Percy Tau,Right Wing,Right Foot,Normal,From Counter,0,0,0,0,0,0.05675458,Off T,100.3,37.1,120.0,48.8,0
3922837,African Cup of Nations,2023,56,10,2,Nigeria,Victor James Osimhen,Center Forward,Head,Normal,From Throw In,1,0,0,0,0,0.112770475,Off T,112.8,36.8,120.0,38.8,0
3922837,African Cup of Nations,2023,60,16,2,Nigeria,Frank Onyeka,Right Defensive Midfield,Right Foot,Normal,Regular Play,0,1,0,0,0,0.05410304,Off T,97.0,43.8,120.0,48.4,0
3922837,African Cup of Nations,2023,66,5,2,Nigeria,William Troost-Ekong,Center Back,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.1,40.1,120.0,40.7,1
3922837,African Cup of Nations,2023,67,44,2,South Africa,Percy Tau,Right Wing,Left Foot,Normal,From Kick Off,0,0,0,0,0,0.020328265,Off T,89.0,34.4,120.0,48.4,0
3922837,African Cup of Nations,2023,74,32,2,South Africa,Evidence Makgopa,Center Forward,Right Foot,Normal,From Free Kick,0,0,0,0,0,0.065721974,Off T,99.8,32.6,120.0,45.6,0
3922837,African Cup of Nations,2023,89,2,2,South Africa,Teboho Mokoena,Right Defensive Midfield,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,36.8,1
3922837,African Cup of Nations,2023,92,27,2,South Africa,Evidence Makgopa,Right Center Forward,Right Foot,Overhead Kick,From Throw In,1,1,0,0,0,0.07597521,Off T,110.4,41.3,120.0,36.6,0
3922837,African Cup of Nations,2023,93,43,2,South Africa,Mihlali Samson Mayambela,Left Midfield,Right Foot,Normal,From Throw In,0,1,0,0,0,0.10438652,Blocked,108.9,36.6,109.7,37.1,0
3922837,African Cup of Nations,2023,93,55,2,South Africa,Mihlali Samson Mayambela,Left Midfield,Right Foot,Normal,From Throw In,0,0,0,0,0,0.038994506,Blocked,107.1,27.0,108.0,28.1,0
3922837,African Cup of Nations,2023,95,32,2,South Africa,Teboho Mokoena,Right Defensive Midfield,Right Foot,Normal,From Free Kick,0,0,0,0,0,0.025001705,Saved,87.1,35.0,118.6,41.9,0
3922837,African Cup of Nations,2023,95,34,2,South Africa,Khuliso Johnson Mudau,Right Back,Left Foot,Half Volley,From Free Kick,1,1,0,0,0,0.28733972,Off T,111.5,45.0,120.0,42.0,0
3922837,African Cup of Nations,2023,96,56,2,Nigeria,Samuel Chimerenka Chukwueze,Right Wing,Left Foot,Normal,Regular Play,0,0,0,0,0,0.03677163,Off T,97.3,36.2,120.0,39.2,0
3922837,African Cup of Nations,2023,92,14,3,Nigeria,Ademola Lookman,Left Wing,Left Foot,Normal,Regular Play,0,0,1,0,0,0.013108453,Saved,112.2,21.1,118.4,37.1,0
3922837,African Cup of Nations,2023,93,32,3,South Africa,Teboho Mokoena,Right Defensive Midfield,Right Foot,Normal,Regular Play,1,0,0,0,0,0.019113015,Off T,93.6,32.4,120.0,50.8,0
3922837,African Cup of Nations,2023,100,23,3,Nigeria,Victor James Osimhen,Center Forward,Right Foot,Normal,Regular Play,0,0,0,0,0,0.03921314,Saved,96.8,44.6,117.8,42.3,0
3922837,African Cup of Nations,2023,103,1,3,Nigeria,William Troost-Ekong,Center Back,Head,Normal,From Throw In,1,0,0,0,0,0.036432743,Wayward,107.7,42.8,108.5,35.7,0
3922837,African Cup of Nations,2023,105,17,4,Nigeria,Victor James Osimhen,Center Forward,Head,Normal,From Kick Off,1,0,0,0,0,0.09430465,Off T,113.8,45.2,120.0,37.8,0
3922837,African Cup of Nations,2023,116,59,4,Nigeria,Kelechi Promise Iheanacho,Right Wing,Left Foot,Normal,From Free Kick,0,0,0,0,0,0.08611193,Saved,101.5,50.4,119.1,38.6,0
3922837,African Cup of Nations,2023,118,45,4,Nigeria,Kelechi Promise Iheanacho,Right Wing,Left Foot,Normal,Regular Play,0,0,0,0,0,0.036002856,Blocked,100.6,52.7,104.9,49.5,0
3922837,African Cup of Nations,2023,120,3,5,Nigeria,Terem Igobor Moffi,Center Forward,Left Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,39.8,1
3922837,African Cup of Nations,2023,121,6,5,South Africa,Teboho Mokoena,Right Defensive Midfield,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Saved,108.0,40.0,119.7,38.1,0
